startup_name_normalized
01Fintech
10 BOND
100Unicorns
12/12 Ventures
1517 Fund
1863 Ventures
1Fusion
1Up Ventures
1confirmation
21K School
21st Century Charter School.
220 Capital
24 Ore Business School
2am VC
2b AHEAD Ventures Fund
3 Rivers Capital
361 Capital
3DOS
3SE Holdings
49th State Angel Fund
4x4 Capital
500 Startups Vietnam
5M Ventures
777Funds
9+ Program
A. James Clark School of Engineering
A15
AA Accelerator
AB CarVal Investors
ABC Dream Ventures
ABS Global Investments
ABio-X
ACE Incubator
ACET Capital
AD Education
ADM Capital
AE Industrial Partners
AERA Capital
AHL Venture Partners
AIM KW School
AKADABRA My tender foodtruck
ALDER Graduate School of Education
AM Capital
AP-C
APEX Ventures
ARK FUND
ARPHION
ASK Property Investment Advisors (ASK PIA)
ASTANDER
AVICHE
Aavishkaar Venture Capital
AbZorba Games
Aberratic
Aberystwyth University
AbilityOne
Abington School District
Abogueo
Abu Dhabi University
Academy for Urban School Leadership
Acadia University
Accelerace
Accelerator Centre
Accelerator Corp.
Access2Europe
Access2net
Accial Capital
Accumont
Acefit Sidai Smart Devices Ltd
Acelera Partners
Acheson Mobile Investments
Acrew Capital
Acuity Ventures
Adams County Health Center
Adams County Regional Water District
Adara Ventures
Advanced Accelerator Applications
Advanced Math & Science Academy Charter School
Advantage Capital
Advantage Energy Capital Partners
Advantage Partners
Advisors.fund
Aephoria.net
Aermont Capital
Aescuvest
AetherMind
Afe Babalola University
Affinity Life Care
Africa Climate Ventures
Africa Digital Media Institute - ADMI
Africa Renewal University
African Institute for Mathematical Sciences
African Leadership Academy
African Leadership University
African Water Facility
African Women Impact Fund
After School All Stars
AgLaunch Accelerator
Agassiz Christian School
Agawam High School
Agency of Commerce & Community Development
Agnes Scott College
Agrinnovate India
"Ahmadu Bello University, Zaria-Nigeria"
Ahuntsic College
AidBits
AiiM Partners
Aions Creative Technology
Air Force Institute of Technology
Aiseptor
Aitua Ltd
Ajman University
Akcela Ventures
Akwa Ibom State University
Alabama A & M University (AAMU)
Alabama Department of Transportation
Alabama State Port Authority
Alabama Tombigbee Regional Commission
"Alamance Community College, Graham"
Alaska Department of Public Safety
Alaska Housing Finance Corporation
Alate Partners
Albany Medical College
Albeo Technologies
Albright Capital Management
Alchemist Accelerator
Aleve LegalTech Ventures
Alfred University
Algae
Algar Telecom Venture Builder
Algebra Ventures
Aliante Partners
Alice Ventures
Aliment Capital
Alios Finance Group
Alitheia IDF
Alive Ventures
Alke Pro
"Allan Hancock College, Santa Maria"
Allen College
Allen Institute for Brain Science
Alliant International University
Allied Digital Services
Alliqua BioMedical
Allison Bernard Memorial High School
AllizHealth
Alpha Liquid Terminal
Alpha Startups
AlphaCode Club
AlphaTrAI
Alphawave Group
Alta Colleges
AltamarCAM Partners
Alter Global
Alvin Community College
Alwin Capital
Alyra
Amati Global Investors
Amergent Capital
American Film Institute
American Institute
American Samoa Community College
American Sentinel University
American University of Beirut
Ames Laboratory
Amherst College
Amherst Holdings
Amorchem
Amplify.LA
Amrutha Asian Restaurant
Amulet Capital Partners
Amzak Capital Management
Anaheim High School
Ananym Capital Management
Ancala Partners
Anderson County
Anderson University
Andra Capital
Angel Oregon Tech 2021
Angel Partners
Angel Round Capital
AngelMD
Angelbay
Angelsquare
Anglia Ruskin University
Angulo Capital
Anne Arundel Economic Development Corporation
Anorak Ventures
Antai Ventures
Antillean Adventist University
Antioch College
Anypad Venture
Apalachee Regional Planning Council
Apaluma
Apar Industry
Apax Partners
Ape Terminal
ApePai
Apera Asset Management
Apollo Health Ventures
Appalachian State University
Appixia
Apple Montessori Schools
Apptorney
Aprentlyl
Aquila Capital
ArQlik
Aravind Eye Care System
Arboretum Investment Advisors
Arboretum Ventures
ArcTern Ventures
Arcadia University
Arcane Group
Arch Grants
Archangels
Archer Wealth
Archway Equities
Arcobasso Foods
Ardent Capital
Argonne National Laboratory
Arimac Lanka
Arista Partners
Arizona Department of Health Services
Arizona State University's College of Liberal Arts and Sciences
ArkAngeles
Arka Venture Labs
Arkansas Department of Agriculture
Arkansas Department of Education
"Arkansas Northeastern College, Blytheville"
Arkansas Science & Technology Authority
"Arkansas State University, Mountain Home"
"Arkansas State University, Newport"
Arkansas State University-Beebe
Armitage Associates
Arnot Ogden Medical Center
Arpinge
Array Ventures
Arrondissement de Saint-Laurent
Arrowbear Lake Fire Department
Arrowhead Regional Development Commission
Arsenal.gg
Art and College Preparatory Academy
Artesian VC
Artha Venture Fund
Artify Magazine Artist Fund
Asabys Partners
Ascend Venture Capital
Ascentris
Asclepius
Ashdown High School
Ashesi University
Ashland University
Asia Business Builders
Aspen MedTech
Aspen University
Aspire Public Schools
Aspis Cyber Technologies
Assembler Institute of Technology
Assumption University
Astarte Capital Partners
Astella
Astra Capital Management
Astralabs
Atlancer
Atlanta Regional Commission
Atlanta University Center Consortium
Atlantic County Utilities Authority
Atlantic Ridge Capital
Atlantic Veterinary College
Atraverda
Attack Capital
Atto Accelerator
Audaces Impact
Augentius
