training_budget,positive_examples_per_epoch,serialized_examples_per_epoch,batches_per_epoch,optimizer_steps_20_epochs,best_epoch,best_HR@10,best_NDCG@10,epoch20_HR@10,epoch20_NDCG@10,NDCG_best_to_epoch20_change,NDCG_best_to_epoch20_relative_pct,HR_gain_over_initial,NDCG_gain_over_initial,total_training_hours,training_hours_to_best,total_validation_minutes,positive_presentations_20_epochs,serialized_presentations_20_epochs
1pct,10732,53660,105,2100,2,0.1630386494891159,0.0802072682286249,0.1532652154597956,0.0738341437149119,-0.006373124513712997,-7.945819193775402,0.0715237672141159,0.0400141690656249,1.7685253982587408,0.1748989163680623,2.657231517415494,214640,1073200
5pct,53662,268310,525,10500,20,0.2674366948023101,0.1413387528910351,0.2674366948023101,0.1413387528910351,0.0,0.0,0.1759218125273101,0.10114565372803509,8.922600051746704,8.922600051746704,2.620085420894126,1073240,5366200
10pct,107324,536620,1049,20980,2,0.3509551310528654,0.1887323907160795,0.2918702798756108,0.1736156963209496,-0.015116694395129915,-8.009591961281721,0.2594402487778654,0.1485392915530795,18.27737262801888,1.7603188295724492,2.781452039536089,2146480,10732400
