training_budget,epoch_index,display_epoch,training_loss,training_seconds,validation_HR@10,validation_NDCG@10,validation_hit_count,mean_positive_rank,median_positive_rank,validation_seconds,became_best,global_optimizer_step,test_cases_scored,best_so_far_NDCG@10,best_so_far_HR@10
5pct,14,15,0.048886395113921,1586.0047055725008,0.2558862727676588,0.1347683914253133,576,34.662372278987114,29.0,7.757487423717976,False,7875,0,0.1381843439949563,0.2612172367836517
5pct,15,16,0.0437215511805567,1585.2465422675014,0.2532207907596623,0.1401833335114702,570,34.39493558418481,28.0,7.415376991033554,True,8400,0,0.1401833335114702,0.2612172367836517
5pct,16,17,0.0407715710076387,1585.275550076738,0.2514438027543314,0.1377904237532314,566,34.65792980897379,28.0,7.465303035452962,False,8925,0,0.1401833335114702,0.2612172367836517
5pct,17,18,0.0386509177498981,1586.2032081764191,0.2505553087516659,0.1370908060049888,564,34.001332741004,27.0,7.596557004377246,False,9450,0,0.1401833335114702,0.2612172367836517
5pct,18,19,0.0341644952974296,1585.243156639859,0.2456685917370057,0.1312713032895752,553,35.31186139493558,29.0,7.448857888579369,False,9975,0,0.1401833335114702,0.2612172367836517
5pct,19,20,0.0328193115302746,1591.8502164520323,0.2674366948023101,0.1413387528910351,602,34.105730786317196,27.0,8.339929603040218,True,10500,0,0.1413387528910351,0.2674366948023101
10pct,0,1,0.4627831243848006,3167.8715274166316,0.2741003998223012,0.1390224709751884,617,30.705908485117725,24.0,7.9765791315585375,True,1049,0,0.1390224709751884,0.2741003998223012
10pct,1,2,0.3999087216558105,3169.2762590441853,0.3509551310528654,0.1887323907160795,790,27.51043980453132,20.0,7.680729165673256,True,2098,0,0.1887323907160795,0.3509551310528654
10pct,2,3,0.3145013737978872,3171.345772601664,0.3140826299422479,0.1758633730779294,707,30.827187916481563,23.0,7.789128674194217,False,3147,0,0.1887323907160795,0.3509551310528654
10pct,3,4,0.2417880742241376,3172.3291329033673,0.3025322079075966,0.1756299581581998,681,32.52820968458463,26.0,7.741988908499479,False,4196,0,0.1887323907160795,0.3509551310528654
10pct,4,5,0.1886622167621389,3175.3749990426004,0.3034207019102621,0.1704539973837806,683,33.75966237227899,28.0,7.630042525008321,False,5245,0,0.1887323907160795,0.3509551310528654
10pct,5,6,0.154002144693493,3174.046086087823,0.2909817858729454,0.1664714304663728,655,34.13149711239449,28.0,7.627716591581702,False,6294,0,0.1887323907160795,0.3509551310528654
10pct,6,7,0.1287575783628498,3228.821979654953,0.2772101288316304,0.1590977114978974,624,34.17725455353176,29.0,8.650036772713065,False,7343,0,0.1887323907160795,0.3509551310528654
10pct,7,8,0.1095839261421084,3284.543677892536,0.2789871168369613,0.1601743813884473,628,33.66059529098179,28.0,8.009952336549759,False,8392,0,0.1887323907160795,0.3509551310528654
10pct,8,9,0.0944325235298426,3278.144786052406,0.2816525988449578,0.1656246362005556,634,33.724122612172366,28.0,7.830054271966219,False,9441,0,0.1887323907160795,0.3509551310528654
10pct,9,10,0.0825334558324303,3230.2835448812693,0.2914260328742781,0.1703515799124166,656,33.11505997334518,27.0,7.902338633313775,False,10490,0,0.1887323907160795,0.3509551310528654
10pct,10,11,0.0732210636883807,3246.68513411656,0.2887605508662816,0.1627297738603152,650,33.26432696579298,27.0,8.407297994941473,False,11539,0,0.1887323907160795,0.3509551310528654
10pct,11,12,0.0659474248926328,3273.5689131245017,0.2798756108396268,0.165115218670466,630,33.18791648156375,27.0,8.192451288923621,False,12588,0,0.1887323907160795,0.3509551310528654
10pct,12,13,0.058916636940183,3274.1134707555175,0.2976454908929364,0.1738777915922617,670,32.07241226121724,26.0,8.516645416617393,False,13637,0,0.1887323907160795,0.3509551310528654
10pct,13,14,0.0537077160925422,3214.76478687115,0.2927587738782763,0.1667194376911558,659,32.89915593069747,26.0,8.012219864875078,False,14686,0,0.1887323907160795,0.3509551310528654
10pct,14,15,0.0498446924710157,3332.8900093548,0.3007552199022656,0.1729483890955808,677,32.25677476677033,25.0,8.88541478663683,False,15735,0,0.1887323907160795,0.3509551310528654
10pct,15,16,0.0449680324996858,3422.182001376525,0.3047534429142603,0.1740572185293051,686,32.91203909373612,26.0,7.697734981775284,False,16784,0,0.1887323907160795,0.3509551310528654
10pct,16,17,0.0414875964779454,3422.917078718543,0.2940915148822745,0.1700394924073775,662,32.3269657929809,26.0,7.843725839629769,False,17833,0,0.1887323907160795,0.3509551310528654
10pct,17,18,0.0388882135604377,4016.5669775158167,0.2958685028876055,0.1716883539905981,666,32.204797867614396,25.0,14.904350262135267,False,18882,0,0.1887323907160795,0.3509551310528654
10pct,18,19,0.0352931548549346,3359.562605071813,0.2914260328742781,0.1704108631598893,656,32.71079520213239,26.0,7.823977887630463,False,19931,0,0.1887323907160795,0.3509551310528654
10pct,19,20,0.0323520900873912,3183.252718385309,0.2918702798756108,0.1736156963209496,657,32.337627721012886,26.0,7.764737037941813,False,20980,0,0.1887323907160795,0.3509551310528654
