training_budget,epoch_index,display_epoch,training_loss,training_seconds,validation_HR@10,validation_NDCG@10,validation_hit_count,mean_positive_rank,median_positive_rank,validation_seconds,became_best,global_optimizer_step,test_cases_scored,best_so_far_NDCG@10,best_so_far_HR@10
1pct,0,1,0.503966831872146,312.57671223022044,0.1341625944024878,0.0670145492859257,302,44.77787649933363,43.0,8.077150480821729,True,105,0,0.0670145492859257,0.1341625944024878
1pct,1,2,0.4725432699689925,317.05938669480383,0.1630386494891159,0.0802072682286249,367,41.00932918702799,37.0,7.486125124618411,True,210,0,0.0802072682286249,0.1630386494891159
1pct,2,3,0.439198417453414,308.28351430781186,0.1568191914704576,0.0735543085351802,353,41.041314971123946,37.0,7.467200195416808,False,315,0,0.0802072682286249,0.1630386494891159
1pct,3,4,0.3828544836256693,309.1933240946382,0.1599289204797867,0.0780889427024408,360,42.19235895157708,40.0,7.503160828724504,False,420,0,0.0802072682286249,0.1630386494891159
1pct,4,5,0.3020640695223913,313.62269354239106,0.1519324744557974,0.0759147604406779,342,43.28031985784096,40.0,7.990702141076326,False,525,0,0.0802072682286249,0.1630386494891159
1pct,5,6,0.2213263993360105,320.7925223056227,0.1510439804531319,0.073932451745419,340,43.21457130164371,41.0,7.68161591514945,False,630,0,0.0802072682286249,0.1630386494891159
1pct,6,7,0.1572134539468316,315.6400635931641,0.1501554864504664,0.0698888066470079,338,43.66725899600178,41.0,8.16521529853344,False,735,0,0.0802072682286249,0.1630386494891159
1pct,7,8,0.1185166724339999,320.976625027135,0.1466015104398045,0.0704181348724998,330,43.300755219902264,41.0,7.928654467687011,False,840,0,0.0802072682286249,0.1630386494891159
1pct,8,9,0.0928976002537711,321.6661062948406,0.1505997334517992,0.0711073922914009,339,43.32918702798756,41.0,7.255697086453438,False,945,0,0.0802072682286249,0.1630386494891159
1pct,9,10,0.0793750172494131,319.9876261819154,0.1430475344291426,0.0694195850328287,322,43.35228787205686,40.0,7.675092091783881,False,1050,0,0.0802072682286249,0.1630386494891159
1pct,10,11,0.0682098320797446,321.6226860322058,0.143936028431808,0.0704580003288772,324,43.573078631719234,40.0,8.295353930443525,False,1155,0,0.0802072682286249,0.1630386494891159
1pct,11,12,0.0618421454811513,321.1429436337203,0.1528209684584629,0.072750452312641,344,43.4762327854287,41.0,7.961442166939378,False,1260,0,0.0802072682286249,0.1630386494891159
1pct,12,13,0.0564306672830502,320.3237885646522,0.1537094624611283,0.0724636227152338,346,42.6988005330964,39.0,8.224236814305186,False,1365,0,0.0802072682286249,0.1630386494891159
1pct,13,14,0.0513600257486715,321.18362000770867,0.1541537094624611,0.0732245258725986,347,43.053753887161264,40.0,8.355867944657803,False,1470,0,0.0802072682286249,0.1630386494891159
1pct,14,15,0.0476425071237549,319.6020768135786,0.1550422034651266,0.0737275627791548,349,42.8507330075522,40.0,7.900973819196224,False,1575,0,0.0802072682286249,0.1630386494891159
1pct,15,16,0.0424299672373719,318.73153768107295,0.1497112394491337,0.0730380279718038,337,42.52465570857397,39.0,8.307723866775632,False,1680,0,0.0802072682286249,0.1630386494891159
1pct,16,17,0.0402244369029732,320.83939265087247,0.1585961794757885,0.0764337498383552,357,42.69702354509107,40.0,8.143827674910426,False,1785,0,0.0802072682286249,0.1630386494891159
1pct,17,18,0.040083953504948,320.6526786778122,0.1590404264771212,0.0755947348205879,358,42.28520657485562,39.0,8.286588912829757,False,1890,0,0.0802072682286249,0.1630386494891159
1pct,18,19,0.0383195652363685,321.22279605828226,0.1590404264771212,0.0761129855501018,358,42.33673922701022,39.0,8.353058395907283,False,1995,0,0.0802072682286249,0.1630386494891159
