quantity,bootstrap_mean,ci95_lower,ci95_upper
HR_startup_history_effect_given_cold_investor,0.13726665201536117,0.10563706634049917,0.16908891132218595
HR_startup_history_effect_given_warm_investor,0.23570012425046524,0.21771758400038435,0.25352933744578193
NDCG_startup_history_effect_given_cold_investor,0.08426021590928418,0.06610173612310029,0.10302867380879888
NDCG_startup_history_effect_given_warm_investor,0.1501266104662519,0.13978907010548497,0.16039937113319894
HR_investor_history_effect_given_cold_startup,0.07416831728611648,0.04826475272283018,0.09840469751847304
HR_investor_history_effect_given_warm_startup,0.17260178952122052,0.14649121934222617,0.19960407620773582
NDCG_investor_history_effect_given_cold_startup,0.03455486299512719,0.02005239383391578,0.047396999141036435
NDCG_investor_history_effect_given_warm_startup,0.10042125755209494,0.08376950072586725,0.11734097002893343
HR_warm_warm_minus_cold_cold,0.30986844153658166,0.2837935216956359,0.33470592108152025
NDCG_warm_warm_minus_cold_cold,0.18468147346137911,0.16911395990695005,0.19942791529117904
rank_cold_cold_minus_warm_warm,19.1428260426868,17.323629907710913,20.94394498390637
