contrast,HR_absolute_difference,NDCG_absolute_difference
startup_history_effect_given_cold_investor,0.13725061196545868,0.08433358647902034
startup_history_effect_given_warm_investor,0.23565319202910923,0.15006840793822812
investor_history_effect_given_cold_startup,0.07413753633215969,0.03453201203402589
investor_history_effect_given_warm_startup,0.17254011639581024,0.10026683349323368
warm_warm_minus_cold_cold,0.3097907283612689,0.18460041997225402
