discovery_history_group,events,event_share_within_strict_discovery_pct,unique_investors,unique_startups,hits_at_10,HR@10,NDCG@10,mean_positive_rank,median_positive_rank
cold_investor__cold_startup,1712,10.436478907583517,1485,1207,230,0.13434579439252337,0.060720070824190474,40.87149532710281,39.0
cold_investor__warm_startup,1447,8.821019263594245,1322,1017,393,0.27159640635798205,0.14505365730321082,32.69592259847961,27.0
warm_investor__cold_startup,6389,38.947817605462085,3901,3670,1332,0.20848333072468306,0.09525208285821636,32.51698231335107,27.0
warm_investor__warm_startup,6856,41.79468422336016,4448,3182,3045,0.4441365227537923,0.2453204907964445,21.74722870478413,13.0
