epoch_index,display_epoch,training_loss,training_seconds,validation_HR@10,validation_NDCG@10,validation_hit_count,mean_positive_rank,median_positive_rank,validation_seconds,became_best,global_optimizer_step,test_cases_scored
0,1,0.4777334550224901,1575.7985196504742,0.20879609062638826,0.10155388805837161,470,37.27054642381164,32.0,7.7967862617224455,True,525,0
1,2,0.43476661389084026,1583.5207003112882,0.24744557974233675,0.1273745491448841,557,33.12705464238116,26.0,7.3911528922617435,True,1050,0
2,3,0.3653144591250558,1669.315888531506,0.2612172367836517,0.13206237725561712,588,34.254997778764995,29.0,9.051730601117015,True,1575,0
3,4,0.2722356531006096,1662.3129135202616,0.24433585073300756,0.13158111233916747,550,35.90448689471346,31.0,7.8175560515373945,False,2100,0
4,5,0.1992475104834692,1581.8990373183042,0.24211461572634385,0.1278476669520686,545,36.629498000888496,31.0,7.719742292538285,False,2625,0
5,6,0.15623170327697739,1641.033567480743,0.23545091070635274,0.12848083265686816,530,36.368280764104846,32.0,7.866016721352935,False,3150,0
6,7,0.1262776194867157,1608.9090575240552,0.2310084406930253,0.12409530237961922,520,36.1737005775211,31.0,7.967430399730802,False,3675,0
7,8,0.1060867239918172,1618.819853445515,0.2501110617503332,0.13280828353538918,563,35.17992003553976,30.0,7.929717618972063,True,4200,0
8,9,0.09242997277081112,1588.2402601316571,0.24300310972900932,0.13148245823633947,547,35.349622390048864,30.0,7.840355657041073,False,4725,0
9,10,0.0840341946895077,1605.5884098690003,0.24478009773434029,0.13058764822778454,551,34.78587294535762,29.0,7.740794686600566,False,5250,0
10,11,0.07303801011487812,1610.45966777578,0.24566859173700578,0.13062989507656086,553,35.35584184806753,30.0,8.332482120022178,False,5775,0
11,12,0.06437450103269236,1611.360562408343,0.2612172367836517,0.1381843439949563,588,34.48778320746335,29.0,8.127808004617691,True,6300,0
12,13,0.05874953497549561,1608.9985541403294,0.25322079075966236,0.13535447869964398,570,34.835628609506884,29.0,7.870851384475827,False,6825,0
13,14,0.05320810693042329,1635.2798149958253,0.24966681474900043,0.13422837100679932,562,35.00932918702799,30.0,7.7291886154562235,False,7350,0
14,15,0.048886395113921094,1586.0047055725008,0.2558862727676588,0.13476839142531336,576,34.662372278987114,29.0,7.757487423717976,False,7875,0
15,16,0.043721551180556754,1585.2465422675014,0.25322079075966236,0.1401833335114702,570,34.39493558418481,28.0,7.415376991033554,True,8400,0
16,17,0.04077157100763875,1585.275550076738,0.2514438027543314,0.13779042375323147,566,34.65792980897379,28.0,7.465303035452962,False,8925,0
17,18,0.038650917749898143,1586.2032081764191,0.25055530875166593,0.13709080600498882,564,34.001332741004,27.0,7.596557004377246,False,9450,0
18,19,0.03416449529742969,1585.243156639859,0.24566859173700578,0.13127130328957523,553,35.31186139493558,29.0,7.448857888579369,False,9975,0
19,20,0.03281931153027462,1591.8502164520323,0.2674366948023101,0.14133875289103515,602,34.105730786317196,27.0,8.339929603040218,True,10500,0
