epoch_index,display_epoch,training_loss,training_seconds,validation_HR@10,validation_NDCG@10,validation_hit_count,mean_positive_rank,median_positive_rank,validation_seconds,became_best,global_optimizer_step,test_cases_scored
0,1,0.4627831243848006,3167.8715274166316,0.2741003998223012,0.13902247097518844,617,30.705908485117725,24.0,7.9765791315585375,True,1049,0
1,2,0.3999087216558105,3169.2762590441853,0.3509551310528654,0.1887323907160795,790,27.51043980453132,20.0,7.680729165673256,True,2098,0
2,3,0.31450137379788723,3171.345772601664,0.3140826299422479,0.17586337307792946,707,30.827187916481563,23.0,7.789128674194217,False,3147,0
3,4,0.24178807422413764,3172.3291329033673,0.3025322079075966,0.17562995815819982,681,32.52820968458463,26.0,7.741988908499479,False,4196,0
4,5,0.1886622167621389,3175.3749990426004,0.3034207019102621,0.17045399738378064,683,33.75966237227899,28.0,7.630042525008321,False,5245,0
5,6,0.15400214469349302,3174.046086087823,0.2909817858729454,0.16647143046637286,655,34.13149711239449,28.0,7.627716591581702,False,6294,0
6,7,0.1287575783628498,3228.821979654953,0.2772101288316304,0.15909771149789748,624,34.17725455353176,29.0,8.650036772713065,False,7343,0
7,8,0.10958392614210843,3284.543677892536,0.27898711683696137,0.16017438138844736,628,33.66059529098179,28.0,8.009952336549759,False,8392,0
8,9,0.09443252352984262,3278.144786052406,0.2816525988449578,0.1656246362005556,634,33.724122612172366,28.0,7.830054271966219,False,9441,0
9,10,0.08253345583243037,3230.2835448812693,0.2914260328742781,0.1703515799124166,656,33.11505997334518,27.0,7.902338633313775,False,10490,0
10,11,0.07322106368838074,3246.68513411656,0.28876055086628166,0.16272977386031526,650,33.26432696579298,27.0,8.407297994941473,False,11539,0
11,12,0.06594742489263283,3273.5689131245017,0.2798756108396268,0.16511521867046602,630,33.18791648156375,27.0,8.192451288923621,False,12588,0
12,13,0.058916636940183065,3274.1134707555175,0.29764549089293646,0.17387779159226172,670,32.07241226121724,26.0,8.516645416617393,False,13637,0
13,14,0.05370771609254228,3214.76478687115,0.2927587738782763,0.1667194376911558,659,32.89915593069747,26.0,8.012219864875078,False,14686,0
14,15,0.049844692471015736,3332.8900093548,0.30075521990226567,0.1729483890955808,677,32.25677476677033,25.0,8.88541478663683,False,15735,0
15,16,0.044968032499685805,3422.1820013765246,0.3047534429142603,0.17405721852930517,686,32.91203909373612,26.0,7.697734981775284,False,16784,0
16,17,0.041487596477945414,3422.917078718543,0.29409151488227453,0.17003949240737756,662,32.3269657929809,26.0,7.843725839629769,False,17833,0
17,18,0.03888821356043779,4016.5669775158167,0.2958685028876055,0.17168835399059817,666,32.204797867614396,25.0,14.904350262135267,False,18882,0
18,19,0.0352931548549346,3359.562605071813,0.2914260328742781,0.17041086315988935,656,32.71079520213239,26.0,7.823977887630463,False,19931,0
19,20,0.03235209008739121,3183.252718385309,0.2918702798756108,0.17361569632094961,657,32.337627721012886,26.0,7.7647370379418135,False,20980,0
