startup_history_group,events,event_share_pct,hits_at_10,HR@10,NDCG@10,mean_positive_rank,median_positive_rank
cold_startup_unseen_before_t60,8104,39.99210422424003,1563,0.19286771964461993,0.08795747574759086,34.279985192497534,30.0
startup_active_t1_t59,12130,59.85984998026056,5702,0.4700741962077494,0.26666305648777167,21.10057708161583,12.0
startup_t0_only_history,30,0.14804579549940783,6,0.2,0.0643081848925036,41.43333333333333,39.5
