interaction_cold_start_status,events,event_share_pct,hits_at_10,HR@10,NDCG@10,mean_positive_rank,median_positive_rank
cold_investor__cold_startup,1712,8.448480063166206,230,0.13434579439252337,0.060720070824190474,40.87149532710281,39.0
cold_investor__warm_startup,1453,7.170351362021319,395,0.2718513420509291,0.14493803152220666,32.737095664143155,27.0
warm_investor__cold_startup,6392,31.543624161073826,1333,0.20854192740926158,0.0952526004705041,32.514549436795996,27.0
warm_investor__warm_startup,10707,52.83754441373865,5313,0.49621742785093864,0.2826148464501428,19.578406649855236,11.0
