t60_pair_repeat_group,events,event_share_pct,hits_at_10,HR@10,NDCG@10,mean_positive_rank,median_positive_rank
pair_repeated_within_t60,324,1.5988945913936043,131,0.404320987654321,0.22390694145176127,25.48148148148148,15.0
single_pair_event_in_t60,19940,98.4011054086064,7140,0.35807422266800404,0.19442395462244488,26.416349047141424,19.0
