pair_novelty_group,investor_history_group,events,event_share_pct,hits_at_10,HR@10,NDCG@10,mean_positive_rank,median_positive_rank
new_to_investor,cold_investor_unseen_before_t60,3165,15.618831425187524,625,0.19747235387045814,0.09938316620940929,37.137124802527644,34.0
new_to_investor,investor_active_t1_t59,13269,65.48065534938807,4381,0.3301680608938126,0.17271156606709795,26.967895093827718,20.0
new_to_investor,investor_t0_only_history,12,0.05921831819976313,4,0.3333333333333333,0.14242161718393612,28.25,30.5
previous_investor_startup_pair,investor_active_t1_t59,3818,18.841294907224636,2261,0.5921948664222105,0.35133393232022303,15.527239392352017,7.0
