pair_history_group,events,event_share_pct,hits_at_10,HR@10,NDCG@10,mean_positive_rank,median_positive_rank
new_to_investor,16446,81.15870509277536,5010,0.3046333454943451,0.15857755992966743,28.925878633102275,22.0
previous_pair_seen_t1_t59,3817,18.836360047374654,2261,0.5923500130992926,0.35142597684008686,15.525281634791721,7.0
previous_pair_t0_only,1,0.00493485984998026,0,0.0,0.0,23.0,23.0
